"cpu_id", "freq", "log_id"
"cpu0", 0.480000, 76
"cpu1", 0.480000, 76
"cpu2", 0.480000, 76
"cpu3", 0.479998, 76
"cpu0", 0.480000, 77
"cpu1", 0.480000, 77
"cpu2", 0.480000, 77
"cpu3", 0.479998, 77
"cpu0", 0.480000, 78
"cpu1", 0.480000, 78
"cpu2", 0.480000, 78
"cpu3", 0.479998, 78
"cpu0", 0.480000, 79
"cpu1", 0.480000, 79
"cpu2", 0.480000, 79
"cpu3", 0.479998, 79
"cpu0", 0.480000, 80
"cpu1", 0.480000, 80
"cpu2", 0.480000, 80
"cpu3", 0.480001, 80
"cpu0", 0.480000, 81
"cpu1", 0.480000, 81
"cpu2", 0.480000, 81
"cpu3", 0.480001, 81
"cpu0", 0.480000, 82
"cpu1", 0.480000, 82
"cpu2", 0.480000, 82
"cpu3", 0.480000, 82
"cpu0", 0.480000, 83
"cpu1", 0.480000, 83
"cpu2", 0.480000, 83
"cpu3", 0.480000, 83
"cpu0", 0.480000, 84
"cpu1", 0.480000, 84
"cpu2", 0.480000, 84
"cpu3", 0.480000, 84
"cpu0", 0.479888, 85
"cpu1", 0.480000, 85
"cpu2", 0.480000, 85
"cpu3", 0.480001, 85
"cpu0", 0.480007, 86
"cpu1", 0.480000, 86
"cpu2", 0.508088, 86
"cpu3", 0.519133, 86
"cpu0", 0.480007, 87
"cpu1", 0.480000, 87
"cpu2", 0.508088, 87
"cpu3", 0.519133, 87
"cpu0", 0.480000, 88
"cpu1", 0.480000, 88
"cpu2", 0.534254, 88
"cpu3", 0.483174, 88
"cpu0", 0.480000, 89
"cpu1", 0.480000, 89
"cpu2", 0.480000, 89
"cpu3", 0.480003, 89
"cpu0", 0.480000, 90
"cpu1", 0.480000, 90
"cpu2", 0.480000, 90
"cpu3", 0.480003, 90
"cpu0", 0.480000, 91
"cpu1", 0.480000, 91
"cpu2", 0.480000, 91
"cpu3", 0.479998, 91
"cpu0", 0.480000, 92
"cpu1", 0.480000, 92
"cpu2", 0.480000, 92
"cpu3", 0.480003, 92
"cpu0", 0.480000, 93
"cpu1", 0.480000, 93
"cpu2", 0.480000, 93
"cpu3", 0.480003, 93
"cpu0", 0.480000, 94
"cpu1", 0.480000, 94
"cpu2", 0.479885, 94
"cpu3", 0.479998, 94
"cpu0", 0.480000, 95
"cpu1", 0.480000, 95
"cpu2", 0.479885, 95
"cpu3", 0.479998, 95
"cpu0", 0.480000, 96
"cpu1", 0.480000, 96
"cpu2", 0.480009, 96
