"cpu_id", "freq", "sample_id"
"cpu2", 0.634534, 72
"cpu3", 1.154527, 72
"cpu0", 0.953985, 73
"cpu1", 0.651436, 73
"cpu2", 0.807532, 73
"cpu3", 0.723750, 73
"cpu0", 0.953985, 74
"cpu1", 0.651436, 74
"cpu2", 0.807532, 74
"cpu3", 0.723750, 74
"cpu0", 0.612548, 75
"cpu1", 0.629713, 75
"cpu2", 0.627649, 75
"cpu3", 0.563604, 75
"cpu0", 0.612548, 76
"cpu1", 0.629713, 76
"cpu2", 0.627649, 76
"cpu3", 0.563604, 76
"cpu0", 0.505605, 77
"cpu1", 0.508808, 77
"cpu2", 0.489527, 77
"cpu3", 0.501576, 77
"cpu0", 0.480000, 78
"cpu1", 0.480000, 78
"cpu2", 0.479996, 78
"cpu3", 0.480000, 78
"cpu0", 0.480000, 79
"cpu1", 0.480000, 79
"cpu2", 0.480000, 79
"cpu3", 0.480000, 79
"cpu0", 0.480000, 80
"cpu1", 0.480000, 80
"cpu2", 0.480006, 80
"cpu3", 0.480000, 80
"cpu0", 0.480000, 81
"cpu1", 0.480000, 81
"cpu2", 0.480006, 81
"cpu3", 0.480000, 81
"cpu0", 0.480000, 82
"cpu1", 0.480000, 82
"cpu2", 0.480000, 82
"cpu3", 0.480000, 82
"cpu0", 0.480000, 83
"cpu1", 0.480000, 83
"cpu2", 0.479993, 83
"cpu3", 0.480000, 83
"cpu0", 0.480000, 84
"cpu1", 0.479987, 84
"cpu2", 0.480000, 84
"cpu3", 0.479885, 84
"cpu0", 0.480000, 85
"cpu1", 0.480012, 85
"cpu2", 0.480003, 85
"cpu3", 0.480000, 85
"cpu0", 0.480000, 86
"cpu1", 0.480000, 86
"cpu2", 0.480000, 86
"cpu3", 0.480115, 86
"cpu0", 0.480000, 87
"cpu1", 0.480000, 87
"cpu2", 0.480003, 87
"cpu3", 0.480000, 87
"cpu0", 0.480000, 88
"cpu1", 0.480000, 88
"cpu2", 0.480000, 88
"cpu3", 0.480000, 88
"cpu0", 0.480000, 89
"cpu1", 0.480000, 89
"cpu2", 0.480000, 89
"cpu3", 0.480000, 89
"cpu0", 0.480000, 90
"cpu1", 0.480000, 90
"cpu2", 0.489012, 90
"cpu3", 0.480000, 90
"cpu0", 0.480000, 91
"cpu1", 0.480000, 91
"cpu2", 0.480003, 91
"cpu3", 0.480000, 91
"cpu0", 0.480000, 92
"cpu1", 0.480000, 92
"cpu2", 0.524154, 92
"cpu3", 0.540585, 92
"cpu0", 0.480000, 93
"cpu1", 0.480000, 93
"cpu2", 0.492985, 93
"cpu3", 0.527480, 93
"cpu0", 0.480000, 94
"cpu1", 0.480000, 94
"cpu2", 0.492985, 94
"cpu3", 0.527480, 94
"cpu0", 0.480000, 95
"cpu1", 0.480000, 95
"cpu2", 0.480001, 95
"cpu3", 0.479885, 95
"cpu0", 0.480000, 96
"cpu1", 0.480000, 96
"cpu2", 0.480000, 96
"cpu3", 0.480000, 96
"cpu0", 0.480011, 97
"cpu1", 0.480000, 97
"cpu2", 0.480000, 97
"cpu3", 0.480051, 97
"cpu0", 0.479978, 98
"cpu1", 0.480000, 98
"cpu2", 0.479994, 98
"cpu3", 0.479984, 98
"cpu0", 0.479978, 99
"cpu1", 0.480000, 99
"cpu2", 0.479994, 99
"cpu3", 0.479984, 99
"cpu0", 0.480000, 100
"cpu1", 0.480000, 100
"cpu2", 0.480001, 100
"cpu3", 0.480000, 100
"cpu0", 0.480000, 101
"cpu1", 0.480000, 101
"cpu2", 0.480003, 101
"cpu3", 0.480116, 101
"cpu0", 0.480000, 102
"cpu1", 0.480000, 102
"cpu2", 0.479996, 102
"cpu3", 0.480000, 102
"cpu0", 0.480000, 103
"cpu1", 0.480000, 103
"cpu2", 0.479996, 103
"cpu3", 0.480000, 103
"cpu0", 0.480000, 104
"cpu1", 0.480000, 104
"cpu2", 0.479996, 104
"cpu3", 0.480000, 104
"cpu0", 0.480000, 105
"cpu1", 0.479849, 105
"cpu2", 0.495696, 105
"cpu3", 0.480000, 105
"cpu0", 0.480000, 106
"cpu1", 0.479849, 106
"cpu2", 0.495696, 106
"cpu3", 0.480000, 106
"cpu0", 0.480000, 107
"cpu1", 0.480132, 107
"cpu2", 0.480003, 107
"cpu3", 0.479883, 107
"cpu0", 0.480000, 108
"cpu1", 0.480000, 108
"cpu2", 0.479996, 108
"cpu3", 0.480115, 108
"cpu0", 0.480000, 109
"cpu1", 0.480000, 109
"cpu2", 0.479996, 109
"cpu3", 0.480115, 109
"cpu0", 0.480000, 110
"cpu1", 0.480000, 110
"cpu2", 0.508822, 110
"cpu3", 0.480000, 110
"cpu0", 0.480000, 111
"cpu1", 0.480000, 111
"cpu2", 0.508822, 111
"cpu3", 0.480000, 111
"cpu0", 0.480000, 112
"cpu1", 0.480000, 112
"cpu2", 0.480003, 112
"cpu3", 0.480000, 112
"cpu0", 0.480000, 113
"cpu1", 0.480000, 113
"cpu2", 0.479993, 113
"cpu3", 0.480000, 113
"cpu0", 0.480000, 114
"cpu1", 0.480000, 114
"cpu2", 0.480006, 114
"cpu3", 0.479883, 114
"cpu0", 0.480000, 115
"cpu1", 0.480000, 115
"cpu2", 0.480000, 115
"cpu3", 0.480119, 115
"cpu0", 0.480000, 116
"cpu1", 0.480000, 116
"cpu2", 0.480000, 116
"cpu3", 0.480119, 116
"cpu0", 0.480000, 117
"cpu1", 0.480000, 117
"cpu2", 0.479997, 117
"cpu3", 0.480000, 117
"cpu0", 0.480000, 118
"cpu1", 0.480000, 118
"cpu2", 0.480000, 118
"cpu3", 0.479888, 118
"cpu0", 0.480000, 119
"cpu1", 0.480000, 119
"cpu2", 0.479993, 119
"cpu3", 0.480116, 119
"cpu0", 0.480000, 120
"cpu1", 0.479857, 120
"cpu2", 0.480003, 120
"cpu3", 0.480000, 120
"cpu0", 0.480000, 121
"cpu1", 0.479857, 121
"cpu2", 0.480003, 121
"cpu3", 0.480000, 121
"cpu0", 0.480000, 122
"cpu1", 0.480150, 122
"cpu2", 0.489782, 122
"cpu3", 0.479882, 122
"cpu0", 0.480000, 123
"cpu1", 0.480000, 123
"cpu2", 0.480000, 123
"cpu3", 0.480116, 123
"cpu0", 0.480000, 124
"cpu1", 0.479884, 124
"cpu2", 0.516505, 124
"cpu3", 0.498156, 124
"cpu0", 0.480000, 125
"cpu1", 0.480112, 125
"cpu2", 0.493234, 125
"cpu3", 0.536078, 125
"cpu0", 0.480000, 126
"cpu1", 0.480112, 126
"cpu2", 0.493234, 126
"cpu3", 0.536078, 126
"cpu0", 0.480000, 127
"cpu1", 0.480000, 127
"cpu2", 0.479998, 127
"cpu3", 0.480000, 127
"cpu0", 0.480000, 128
"cpu1", 0.480000, 128
"cpu2", 0.479996, 128
"cpu3", 0.480000, 128
"cpu0", 0.480000, 129
"cpu1", 0.480000, 129
"cpu2", 0.480003, 129
"cpu3", 0.480000, 129
"cpu0", 0.480000, 130
"cpu1", 0.480000, 130
"cpu2", 0.479996, 130
"cpu3", 0.480000, 130
"cpu0", 0.480000, 131
"cpu1", 0.480000, 131
"cpu2", 0.479996, 131
"cpu3", 0.480000, 131
"cpu0", 0.480000, 132
"cpu1", 0.480000, 132
"cpu2", 0.480003, 132
"cpu3", 0.480000, 132
"cpu0", 0.480000, 133
"cpu1", 0.480000, 133
"cpu2", 0.480003, 133
"cpu3", 0.480000, 133
"cpu0", 0.480000, 134
"cpu1", 0.480000, 134
"cpu2", 0.479996, 134
"cpu3", 0.480000, 134
"cpu0", 0.480000, 135
"cpu1", 0.480000, 135
"cpu2", 0.480006, 135
